a	IN
Judaísmo	NNP
judía	JJ
judicial	JJ
judío	JJ
judo	NN
jueves	NN
juez	NN
jugador	NN
jugadora	NN
jugar	VB
jugo	NN
juguete	NN
juguetón	JJ
juguetona	JJ
juiciosa	JJ
juicioso	JJ
julio	NN
junio	NN
juntar	VB
Júpiter	NNP
jurado	NN
jurar	VB
jurásica	JJ
jurásico	JJ
justa	JJ
justicia	NN
justo	JJ
juventud	NN
juzgar	VB
kaki	JJ
kilogramo	NN
kilometraje	NN
kilómetro	NN
kinder	NN
kindergarten	NN
kiwi	NN
koala	NN
kryptón	NN
kryptonita	NN
la	DT
labio	NN
labios	NN
laboratorio	NN
labrador	NN
labradora	NN
lacónica	JJ
lacónico	JJ
lactosa	NN
ladera	NN
ladrar	VB
ladrido	NN
ladrillo	NN
ladrón	NN
ladrona	NN
lagartija	NN
lagarto	NN
lago	NN
laguna	NN
lamentación	NN
lamentar	VB
lamer	VB
laminar	VB
lámpara	NN
lana	NN
langosta	NN
lantano	NN
lanza	NN
lanzador	NN
lanzadora	NN
lanzar	VB
lápiz	NN
larga	JJ
largo	JJ
las	DT
láser	NN
lástima	NN
lastimar	VB
lata	NN
látigo	NN
latitud	NN
latón	NN
lava	NN
lavadero	NN
lavadora	NN
lavanda	NN
lavaplatos	NN
lavar	VB
lazada	NN
lazo	NN
leal	JJ
lección	NN
leche	NN
lechuga	NN
lechuza	NN
lectura	NN
leer	VB
legado	NN
legión	NN
legislador	NN
legisladora	NN
legislativa	JJ
legislativo	JJ
lejana	JJ
lejano	JJ
lejos	JJ
leña	NN
lengua	NN
leño	NN
lenta	JJ
lentes	NNS
lento	JJ
leo	NN
león	NN
leopardo	NN
letal	JJ
letra	NN
letrero	NN
levantamiento	NN
levantarse	VB
leve	JJ
ley	NN
leyenda	NN
libélula	NN
libertad	NN
libra	NN
librería	NN
libro	NN
líder	NN
liderazgo	NN
liebre	NN
lienzo	NN
liga	NN
ligamento	NN
ligera	JJ
ligero	JJ
lijar	VB
lila	NN
limbo	NN
limitación	NN
límite	NN
limón	NN
limonada	NN
limpia	JJ
limpiaparabrisas	NN
limpiar	VB
limpio	JJ
limusina	NN
linaje	NN
lince	NN
línea	NN
lino	NN
linterna	NN
lío	NN
liquidación	NN
lirio	NN
lisa	JJ
liso	JJ
lista	JJ
listo	JJ
literalmente	RB
literaria	JJ
literária	JJ
literario	JJ
literário	JJ
literatura	NN
litigio	NN
litio	NN
litografía	NN
llamar	VB
llamativa	JJ
llamativo	JJ
llanta	NN
llanura	NN
llave	NN
llavero	NN
llegar	VB
llenar	VB
llevar	VB
llorar	VB
llover	VB
lluvia	NN
lluviosa	JJ
lluvioso	JJ
loba	NN
lobo	NN
lóbulo	NN
loca	JJ
local	JJ
localizar	VB
loco	JJ
locutor	NN
locutora	NN
lodo	NN
logo	NN
logotipo	NN
lograr	VB
lombrices	NN
lombriz	NN
lona	NN
longitud	NN
loro	NN
los	DT
losa	NN
lotería	NN
lucha	NN
luchar	VB
lucir	VB
luego	RB
lugar	NN
luge	NN
lúgubre	JJ
lujo	NN
lujuria	NN
luminiscente	JJ
Luna	NNP
lunar	NN
lunes	NN
lustre	NN
lutecio	NN
luto	NN
luz	NN
macarrones	NN
macarrónica	JJ
macarrónico	JJ
machete	NN
machismo	NN
machista	NN
madera	NN
madrastra	NN
madre	NN
madrina	NN
madrugar	VB
madura	JJ
maduro	JJ
maestra	NN
maestría	NN
maestro	NN
maga	NN
magia	NN
mágica	JJ
mágico	JJ
magnesio	NN
magnética	JJ
magnético	JJ
magnífica	JJ
magnífico	JJ
mago	NN
mahierba	NN
maíz	NN
mala	JJ
maldecir	VB
maleducada	JJ
maleducado	JJ
maleta	NN
maletero	NN
maletín	NN
malgastar	VB
maligna	JJ
maligno	JJ
malla	NN
malo	JJ
malsana	JJ
malsano	JJ
malvavisco	NN
mambo	NN
mamey	NN
mamut	NN
manada	NN
mañana	NN
manatí	NN
mancha	NN
manchar	VB
mandar	VB
mandarina	NN
mandil	NN
manejar	VB
manera	NN
manga	NN
manganeso	NN
mango	NN
manguera	NN
maní	NN
manicomio	NN
manifestación	NN
maniobra	NN
maniobrar	VB
manipular	VB
mano	NN
manta	NN
mantel	NN
mantener	VB
mantequilla	NN
mantis	NN
manual	JJ
manubrio	NN
manzana	NN
mapa	NN
mapache	NN
maqueta	NN
maquillaje	NN
maquillarse	VB
maquinaria	NN
mar	NN
maraca	NN
maratón	NN
maravilla	NN
maravillarse	VB
maravillosa	JJ
maravilloso	JJ
marca	NN
marcador	NN
marcar	VB
marcha	NN
mareada	JJ
mareado	JJ
marearse	VB
marfil	NN
margarita	NN
margen	NN
María	NNP
marida	NN
marido	NN
marijuana	NN
marimacho	NN
marimba	NN
marina	NN
mariposa	NN
mariquita	NN
mariscos	NN
mármol	NN
marrón	JJ
marrón claro	JJ
martes	NN
martillear	VB
martillo	NN
martini	NN
mártir	NN
marxista	NN
marzo	NN
más	JJ
Masa	NNP
masaje	NN
masajear	VB
mascar	VB
máscara	NN
mascarada	NN
mascota	NN
masculina	JJ
masculino	JJ
masticar	VB
mástil	NN
matadero	NN
matar	VB
mate	NN
matemáticas	NN
materia	NN
maternidad	NN
matón	NN
matona	NN
matrícula	NN
matricular	VB
matrimonio	NN
máxima	JJ
máximo	JJ
mayas	NN
mayo	NN
mayonesa	NN
mayor	JJ
mayordomo	NN
mayoría	NN
me	PRP
mean	NN
mear	VB
mecánica	NN
mecánico	NN
mecate	NN
mechero	NN
medalla	NN
media	NN
medialuna	NN
mediana	JJ
mediano	JJ
medianoche	NN
médica	NN
medicina	NN
medición	NN
médico	NN
medida	NN
medio	RB
mediocampista	NN
mediodía	NN
medir	VB
medusa	NN
mejilla	NN
mejor	JJ
mejorando	RB
mejorar	VB
melodía	NN
melón	NN
membrana	NN
memoria	NN
memorizar	VB
mencionar	VB
mendigar	VB
menear	VB
meneo	NN
menor	JJ
menos	IN
mensaje	NN
mensajera	NN
mensajero	NN
menta	NN
mente	NN
mentir	VB
mentón	NN
menú	NN
mera	JJ
meramente	RB
mercadear	VB
mercadeo	NN
mercado	NN
Mercurio	NNP
merecer	VB
merendar	VB
merengue	NN
merienda	NN
mero	JJ
mes	NN
mesa	NN
mesera	NN
mesero	NN
meseta	NN
meta	NN
metabolismo	NN
metano	NN
meteorito	NN
meteoro	NN
meter	VB
meticulosa	JJ
meticuloso	JJ
método	NN
metro	NN
mexicana	JJ
mexicano	JJ
México	NNP
mezcla	NN
mezclar	VB
mezclilla	NN
mezquita	NN
mi	PRP$
mía	NN
microbio	NN
microbiología	NN
microchip	NN
micrófono	NN
microondas	NN
microscópica	JJ
microscópico	JJ
microscopio	NN
miel	NN
miembra	NN
miembro	NN
mientras	RB
miércoles	NN
mil	JJ
milagro	NN
milenio	NN
militar	JJ
milla	NN
milpiés	NN
mimbre	NN
mina	NN
mineral	JJ
minería	NN
minifalda	NN
mínima	JJ
mínimo	JJ
ministra	NN
ministro	NN
minoría	NN
minuto	NN
mío	NN
miopía	NN
mirar	VB
mirlo	NN
mis	PRP$
misa	NN
misericordia	NN
misión	NN
misionera	NN
misionero	NN
misma	JJ
mismo	JJ
misterio	NN
misteriosa	JJ
misterioso	JJ
mística	JJ
místico	JJ
mitad	NN
mito	NN
mitología	NN
mocasín	NN
mochila	NN
mochilear	VB
moco	NN
moda	NN
modales	NNS
modelar	VB
modelo	NN
modem	NN
moderna	JJ
moderno	JJ
modesta	JJ
modesto	JJ
modismo	NN
modo	NN
mofeta	NN
mofle	NN
moho	NN
mojada	JJ
mojado	JJ
molde	NN
moldeador	NN
mole	NN
molécula	NN
molesta	JJ
molestar	VB
molesto	JJ
molibdeno	NN
mollete	NN
momento	NN
monarca	NN
monasterio	NN
mondar	VB
moneda	NN
monitor	NN
monitora	NN
monja	NN
monje	NN
mono	NN
monopatín	NN
monopolizar	VB
monoteísmo	NN
monoteísta	JJ
monstruo	NN
montaje	NN
montaña	NN
montar a caballo	VB
montar en bicicleta	VB
montar en triciclo	VB
montón	NN
montura	NN
moradura	NN
moral	JJ
morder	VB
morena	JJ
moreno	JJ
morfina	NN
morir	VB
mormón	NN
mormóna	NN
morro	NN
morsa	NN
mortal	JJ
mortificar	VB
mosca	NN
mosquito	NN
mostaza	NN
mostrador	NN
mostrar	VB
moto acuática	NN
motocicleta	NN
motor	NN
motosierra	NN
mover	VB
móvil	JJ
movimiento	NN
MP3	NNP
mucha	JJ
muchacha	NN
muchacho	NN
mucho	JJ
mucosidad	NN
mudarse	VB
mudo	JJ
muebles	NNS
muela	NN
muelas	NNS
muerta	JJ
muerte	NN
muerto	JJ
muestra	NN
mugre	NN
mujer	NN
mula	NN
mulata	JJ
mulato	JJ
mulatos	NNS
muleta	NN
muletas	NNS
multa	NN
multicultural	JJ
multiplicación	NN
multiplicar	VB
mundial	JJ
mundo	NN
muñeca	NN
muñeco	NN
muñequera	NN
mural	NN
murciélago	NN
murmullo	NN
murmurar	VB
músculo	NN
museo	NN
musgo	NN
música	NN
músico	NN
muslo	NN
musulmán	JJ
musulmana	JJ
muy	JJ
nacer	VB
nacimiento	NN
nacional	JJ
nacionalizar	VB
nacionalizarse	VB
nada	RB
nadar	VB
náhuatl	NN
nalga	NN
ñame	NN
napalm	NN
naranja	NN
naranjo	NN
narciso	NN
narcotráfico	NN
nariz	NN
narrador	NN
narradora	NN
natación	NN
Natividad	NNP
natural	JJ
naturaleza	NN
navaja	NN
naval	JJ
nave	NN
navegar	VB
Navidad	NNP
nazi	JJ
neblina	NN
necesidad	NN
necesitar	VB
negar	VB
negativa	JJ
negativo	JJ
negociación	NN
negociar	VB
negocio	NN
negocios	NNS
negra	JJ
negro	JJ
neoclásica	JJ
neoclásico	JJ
neodimio	NN
neón	NN
neoyorquina	NN
neoyorquino	NN
Neptuno	NNP
nervio	NN
nerviosa	JJ
nervioso	JJ
neumático	NN
neutrón	NN
nevar	VB
Nicaragua	NNP
nicaragüense	JJ
nicho	NN
niebla	NN
nieta	NN
nieto	NN
nieve	NN
nilón	NN
niña	NN
niñera	NN
niñero	NN
niñez	NN
ninguna	JJ
ninguno	JJ
ninja	NN
niño	NN
niobio	NN
níquel	NN
nitrato	NN
nitrógeno	NN
nivel	NN
noche	NN
nocturna	JJ
nocturno	JJ
nódulo	NN
nogal	NN
nombrar	VB
nombre	NN
nopal	NN
nordeste	NN
noreste	NN
normal	JJ
normalmente	RB
noroeste	NN
norte	NN
Norteamérica	NNP
norteamericana	JJ
norteamericano	JJ
nos	PRP
nostalgia	NN
nota	NN
noticia	NN
noticias	NNS
noticiero	NN
novata	NN
novato	NN
novecientas	JJ
novecientos	JJ
novela	NN
novelesca	JJ
novelesco	JJ
novelista	NN
novena	JJ
noveno	JJ
noventa	JJ
novia	NN
noviembre	NN
novio	NN
novios	NNS
nube	NN
nubosa	JJ
nuboso	JJ
nuclear	JJ
núcleo	NN
nudillo	NN
nudo	NN
nuera	NN
nuestra	JJ
nuestro	JJ
nueva	JJ
nueve	JJ
nuevo	JJ
nuez	NN
número	NN
número decimal	NN
numerosa	JJ
numeroso	JJ
nunca	RB
nutria	NN
nutrición	NN
nutrir	VB
nutritiva	JJ
nutritivo	JJ
o	CC
oasis	NN
obedecer	VB
obediente	JJ
obesa	JJ
obeso	JJ
objectivo	NN
objetiva	JJ
objetivo	JJ
objeto	NN
obligarse	VB
obligatoria	JJ
obligatorio	JJ
oboe	NN
obra	NN
obrero	NN
observatorio	NN
obsesión	NN
obstáculo	NN
obstetra	NN
obstruir	VB
obtener	VB
obtusa	JJ
obtuso	JJ
obviamente	RB
ocasión	NN
occidental	JJ
océano	NN
ochenta	JJ
ocho	JJ
ochocientas	JJ
ochocientos	JJ
octágono	NN
octava	JJ
octavo	JJ
octubre	NN
oculta	JJ
ocultar	VB
oculto	JJ
ocupación	NN
ocupada	JJ
ocupado	JJ
ocupar	VB
ocurrir	VB
odiar	VB
odio	NN
odiosa	JJ
odioso	JJ
odisea	NN
oeste	NN
ofensiva	JJ
ofensivo	JJ
oficial	JJ
oficina	NN
ofrecer	VB
ofrenda	NN
oftamóloga	NN
oftamólogo	NN
oído	NN
oír	VB
ojo	NN
ola	NN
óleo	NN
oler	VB
olímpica	JJ
olímpico	JJ
oliva	NN
olla	NN
olmo	NN
olor	NN
olvidarse	VB
ombligo	NN
once	JJ
onceava	JJ
onceavo	JJ
oncologista	NN
onda	NN
onomatopoeia	NN
onza	NN
ópalo	NN
operación	NN
operador	NN
operadora	NN
operar	VB
opinión	NN
oponer	VB
oportuna	JJ
oportunidad	NN
oportuno	JJ
opresión	NN
optar	VB
óptica	JJ
óptico	JJ
optimista	NN
opuesta	NN
oración	NN
orador	NN
oradora	NN
orangután	NN
orar	VB
órbita	NN
orden	NN
ordenada	JJ
ordenado	JJ
ordenador	NN
ordenar	VB
ordinaria	JJ
ordinario	JJ
orégano	NN
oreja	NN
orejera	NN
orfanato	NN
orgánica	JJ
orgánico	JJ
organización	NN
organizador	NN
organizadora	NN
organizar	VB
órgano	NN
orgullo	NN
orgullosa	JJ
orgulloso	JJ
oriental	JJ
origen	NN
orilla	NN
orina	NN
orinar	VB
ornamento	NN
ornitorrinco	NN
oro	NN
orquesta	NN
orquídea	NN
ortografía	NN
ortopedista	NN
oruga	NN
oscilar	VB
oscura	JJ
oscuro	JJ
osmio	NN
oso	NN
ostra	NN
otoño	NN
otorrinolaringóloga	NN
otorrinolaringólogo	NN
otra	JJ
otro	JJ
out	NN
ovación	NN
ovalada	JJ
ovalado	JJ
óvalo	NN
ovario	NN
oveja	NN
overoles	NNS
oxidarse	VB
óxido	NN
oxígeno	NN
oyente	NN
ozono	NN
pabellón	NN
pabilo	NN
pacana	NN
paciencia	NN
paciente	JJ
pacífica	JJ
pacífico	JJ
pacto	NN
padrastro	NN
padre	NN
padres	NNS
padrino	NN
paella	NN
pagar	VB
página	NN
pago	NN
país	NN
paisaje	NN
paja	NN
pajarilla	NN
pájaro	NN
pala	NN
palabra	NN
palacio	NN
paladín	NN
paladio	NN
palanca	NN
palangana	NN
palé	NN
palear	VB
palet	NN
paleta	NN
palito	NN
palma	NN
palmera	NN
palo	NN
paloma	NN
palpitante	JJ
palpitar	VB
pan	NN
pana	NN
panadera	NN
panadería	NN
panadero	NN
pañal	NN
Panamá	NNP
panameña	JJ
panameño	JJ
páncreas	NN
panda	NN
pandereta	NN
pandilla	NN
panecillo	NN
panorama	NN
panqueque	NN
pantalgigante	NN
pantalla	NN
pantalones	NNS
pantera	NN
pantimedias	NNS
pantorrilla	NN
pañuelo	NN
panza	NN
papa	NN
papagayo	NN
papalote	NN
papel	NN
paperas	NNS
paphigiénico	NN
paquete	NN
par	JJ
parábola	NN
parabrisas	NN
paracaídas	NN
parachoques	NN
paraguas	NN
Paraguay	NNP
paraguaya	JJ
paraguayo	JJ
paralela	JJ
paralelo	JJ
paralelogramo	NN
paralizar	VB
paranoica	JJ
paranoico	JJ
parapetar	VB
parar	VB
parcial	JJ
parcialidad	NN
parecer	VB
pared	NN
pareja	NN
paréntesis	NN
parienta	NN
pariente	NN
parilla	NN
parir	VB
parlante	NN
párpado	NN
parque	NN
parrillada	NN
parte	NN
partera	NN
participar	VB
particularmente	RB
partido	NN
partir	VB
parto	NN
parvada	NN
pasable	JJ
pasadera	JJ
pasadero	JJ
pasaje	NN
pasajera	NN
pasajero	NN
pasamanos	NN
pasaporte	NN
pasatiempo	NN
Pascua	NNP
pasear	VB
paseo	NN
pasillo	NN
pasión	NN
pasiva	JJ
pasivo	JJ
paso	NN
pasos	NNS
pasta	NN
pastar	VB
pastel	JJ
pastelería	NN
pasteurizar	VB
pastilla	NN
pasto	NN
pastor	NN
pastora	NN
patada	NN
patear	VB
patentar	VB
patente	NN
paternidad	NN
patín	NN
patinar	VB
patinete	NN
patio	NN
pato	NN
patria	NN
patriótica	JJ
patriótico	JJ
patrocinador	NN
patrocinadora	NN
patrocinar	VB
patrocinio	NN
patrón	NN
patrona	NN
patrono	NN
patrulla	NN
pausa	NN
pauta	NN
pautar	VB
pavimento	NN
pavo	NN
payaso	NN
paz	NN
peaje	NN
peatón	NN
peca	NN
pecado	NN
pecador	NN
pecadora	NN
pecar	VB
pecho	NN
pecosa	JJ
pecoso	JJ
pedal	NN
pedante	JJ
pedazo	NN
pederse	VB
pediatra	NN
pedido	NN
pedir	VB
pedo	NN
pegajosa	JJ
pegajoso	JJ
pegamento	NN
pegar	VB
pegatina	NN
peinarse	VB
peine	NN
peldaño	NN
pelearse	VB
pelícucómica	NN
pelícudocumental	NN
pelícudoeste	NN
película	NN
pelícumusical	NN
pelícupolicíaca	NN
pelícuromántica	NN
peligro	NN
peligrosa	JJ
peligroso	JJ
peliguey	NN
pelirroja	JJ
pelirrojo	JJ
pellejo	NN
pelo	NN
pelota	NN
pelotera	NN
pelotero	NN
peluca	NN
peluda	JJ
peludo	JJ
peluquín	NN
pelusa	NN
pena	NN
peña	NN
pendiente	JJ
pendón	NN
péndulo	NN
penicilina	NN
península	NN
pensamiento	NN
pensar	VB
pensión	NN
pentágono	NN
pentatlón	NN
penuria	NN
peor	JJ
pepinillo	NN
pepino	NN
pequeña	JJ
pequeñín	JJ
pequeñina	JJ
pequeño	JJ
pera	NN
peral	NN
percepción	NN
percha	NN
percibir	VB
perdedor	NN
perdedora	NN
perder	VB
perdida	JJ
pérdida	NN
perdido	JJ
perdiz	NN
perdonar	VB
peregrina	NN
peregrino	NN
perejil	NN
pereza	NN
perezosa	JJ
perezoso	JJ
perfección	NN
perfeccionista	JJ
perfecta	JJ
perfecto	JJ
perfil	NN
perfume	NN
peridoto	NN
perilla	NN
periódica	JJ
periódico	JJ
periodista	NN
período	NN
periquito	NN
perla	NN
permanecer	VB
permanente	JJ
permitir	NN
pero	CC
perpendicular	JJ
perpetrador	NN
perpetradora	NN
perpetuar	VB
perpetuidad	NN
perpleja	JJ
perplejo	JJ
perrito	NN
perro	NN
perseguir	VB
perseverancia	NN
pérsica	JJ
pérsico	JJ
persona	NN
personaje	NN
personal	JJ
personificar	VB
perspectiva	NN
perspicacia	NN
perspicaz	JJ
pertenecer	VB
Perú	NNP
peruana	JJ
peruano	JJ
perversa	JJ
perverso	JJ
pesar	VB
pesas	NNS
pescadería	NN
pescado	NN
pescar	VB
pesebre	NN
pésima	JJ
pesimista	JJ
pésimo	JJ
peso	NN
pestaña	NN
petardo	NN
petición	NN
petirrojo	NN
petróleo	NN
pez	NN
pezón	NN
piadosa	JJ
piadoso	JJ
pianista	NN
piano	NN
picaflor	NN
picante	JJ
picaporte	NN
picar	VB
pícara	JJ
pícaro	JJ
picarse	VB
piccolo	NN
picea	NN
picor	NN
picosa	JJ
picoso	JJ
pie	NN
piedra	NN
piel	NN
pierna	NN
pieza	NN
pijama	NN
pila	NN
píldora	NN
pillaje	NN
piloto	NN
pimienta	NN
pimiento	NN
piña	NN
pinar	NN
pincel	NN
pinchazo	NN
pingüino	NN
pino	NN
Pinocho	NNP
piñón	NN
pinta	JJ
pintar	VB
pinto	JJ
pintor	NN
pintora	NN
pintoresca	JJ
pintoresco	JJ
pintorrear	VB
pintura	NN
pinzas	NNS
pionera	NN
pionero	NN
piragüismo	NN
pirámide	NN
pirata	NN
pis	NN
piscina	NN
piscis	NN
piso	NN
pisotear	VB
pista	NN
pistolera	NN
pistolero	NN
pistón	NN
pito	NN
piyama	NN
pizarra	NN
pizote	NN
pizza	NN
placa	NN
plácida	JJ
plácido	JJ
plaga	NN
plana	JJ
planchar	VB
planear	VB
planeta	NN
planetario	NN
plano	JJ
planta	NN
plantilla	NN
plasticina	NN
plástico	NN
plata	NN
plataforma	NN
plátano	NN
plateada	JJ
plateado	JJ
platillo	NN
platino	NN
plato	NN
playa	NN
plaza	NN
plazo	NN
plegar	VB
pleito	NN
plétora	NN
plomera	NN
plomero	NN
plomo	NN
pluma	NN
plural	JJ
Plutón	NNP
plutonio	NN
población	NN
poblador	NN
pobladora	NN
poblar	VB
pobres	NNS
pobreza	NN
pocha	NN
pocho	NN
poco	JJ
poder	VB
poderosa	JJ
poderoso	JJ
podio	NN
podrida	JJ
podrido	JJ
poema	NN
poemario	NN
poesía	NN
poeta	NN
polaca	NN
polaco	NN
polar	JJ
polea	NN
polen	NN
policía	NN
poligamia	NN
polígono	NN
polilla	NN
politeísmo	NN
política	JJ
político	JJ
pollera	NN
pollo	NN
Polonia	NNP
polonio	NN
polvo	NN
pomo	NN
pompa	NN
poner	VB
poni	NN
póquer	NN
por	IN
porcelana	NN
porcentaje	NN
porque	CC
porquería	NN
portaaviones	NN
portada	NN
portátil	JJ
portera	NN
portería	NN
portero	NN
portorriqueña	JJ
portorriqueño	JJ
posavasos	NN
poseer	VB
posesión	NN
posibilidad	NN
posible	JJ
posición	NN
positiva	JJ
positivo	JJ
posmoderna	JJ
posmoderno	JJ
poste	NN
posteriormente	RB
postre	NN
postular	VB
postura	NN
potasio	NN
potente	JJ
potra	NN
potro	NN
poza	NN
pozo	NN
práctica	JJ
practicable	JJ
practicar	VB
práctico	JJ
pradera	NN
prado	NN
praseodimio	NN
preciada	JJ
preciado	JJ
precio	NN
preciosa	JJ
precioso	JJ
precipicio	NN
precipitado	NN
precipitar	VB
precolombina	JJ
precolombino	JJ
predecir	VB
predestinación	NN
predicador	NN
predicadora	NN
predicar	VB
preescolar	JJ
preferida	JJ
preferido	JJ
preferir	VB
pregón	NN
pregunta	NN
preguntar	VB
prematura	JJ
prematuro	JJ
premiar	VB
premio	NN
prenda	NN
prensa	NN
preocupación	NN
preocupar	VB
presa	NN
presagiar	VB
presentar	VB
presente	NN
presidenta	NN
presidente	NN
presión	NN
presión arterial	NN
preso	NN
préstamo	NN
prestar	VB
presupuesto	NN
prevenir	VB
previsible	JJ
prima	NN
primavera	NN
primer	JJ
primera	JJ
primitiva	JJ
primitivo	JJ
primo	NN
princesa	NN
principal	JJ
principalmente	RB
príncipe	NN
principiante	NN
principio	NN
pringue	NN
prioridad	NN
prisa	NN
prisión	NN
prisionera	NN
prisionero	NN
prisma	NN
privacidad	NN
privada	JJ
privado	JJ
proa	NN
probable	JJ
probablemente	RB
probar	VB
problema	NN
problemas	NNS
procedimiento	NN
proceso	NN
proclamación	NN
proclividad	NN
producción	NN
producir	VB
productiva	JJ
productivo	JJ
producto	NN
profesión	NN
profesional	JJ
profesor	NN
profesora	NN
profeta	NN
profunda	JJ
profundo	JJ
progenie	NN
programa	NN
programar	VB
prohibición	NN
prohibir	VB
prole	NN
promecio	NN
prometer	VB
promover	VB
promulgar	VB
pronombre	NN
pronunciación	NN
pronunciar	VB
propano	NN
propiamente	RB
propicia	JJ
propicio	JJ
propiedad	NN
propina	NN
proponer	VB
proporcionar	VB
propugnar	VB
protactinio	NN
protagonista	NN
protagonizar	VB
proteger	VB
proteína	NN
protestante	NN
protestantismo	NN
protestar	VB
protón	NN
provecho	NN
providencia	NN
provincia	NN
provisión	NN
provocar	VB
próxima	NN
próximo	NN
proyección	NN
proyectil	NN
proyecto	NN
proyector	NN
prueba	NN
psicoanálisis	NN
psicoanalista	NN
psiquiatra	NN
púa	NN
publicar	VB
público	NN
pudín	NN
pueblo	NN
puente	NN
puercoespín	NN
puerta	NN
pues	CC
puesto	NN
pulga	NN
pulgada	NN
pulir	VB
pulmón	NN
pulmonía	NN
púlpito	NN
pulpo	NN
pulsera	NN
pulverizador	NN
puma	NN
puñado	NN
puñal	NN
puño	NN
punta	NN
puntada	NN
puntadas	NNS
puntapié	NN
punto	NN
puntuación	NN
puntualidad	NN
puntualmente	RB
puntuar	VB
pupila	NN
pupitre	NN
que	CC
qué	WP
quechua	NN
quedar	VB
queja	NN
quejarse	VB
quema	NN
quemador	NN
quemarse	VB
quesadilla	NN
queso	NN
quiché	NN
quién	WP
química	NN
químico	NN
quitar	VB
rábano	NN
rabia	NN
rabo	NN
radar	NN
radiactividad	NN
radiador	NN
radio	NN
radiografía	NN
radón	NN
ráfaga	NN
raíz	NN
rama	NN
rana	NN
ranura	NN
rapera	NN
rapero	NN
rapidez	NN
raqueta	NN
rascacielos	NN
rascar	VB
rasgar	VB
rasgo	NN
rasguear	VB
rasguño	NN
rastrillar	VB
rastrillo	NN
rata	NN
ratón	NN
raya	NN
rayar	VB
rayo	NN
raza	NN
razón	NN
razonar	VB
reabastecer	VB
reacción	NN
realismo	NN
reanudar	VB
rebaja	NN
rebaño	NN
rebelarse	VB
rebobinar	VB
rebotar	VB
rebote	NN
recado	NN
recambio	NN
recapacitar	VB
recepción	NN
recepcionista	NN
receptor	NN
receptora	NN
recesión	NN
receta	NN
recetar	VB
rechazar	VB
rechazo	NN
recibir	VB
recibo	NN
reciclaje	NN
reciclar	VB
recientemente	RB
recipiente	NN
recitar	VB
reclamo	NN
recluta	NN
reclutar	VB
recluto	NN
recoger	VB
recomendación	NN
recomendar	VB
reconocer	VB
reconocimiento	NN
reconquistar	VB
recordar	VB
recorrido	NN
recorte	NN
recreo	NN
rectángulo	NN
recto	RB
recuadro	NN
recuerdo	NN
recuperar	VB
recurrir	VB
recurso	NN
red	NN
redacción	NN
redactor	NN
redactora	NN
redención	NN
redimir	VB
reducir	VB
reembolsar	VB
reembolso	NN
reflejo	NN
reflexionar	VB
refrescar	VB
refresco	NN
refrigerador	NN
refugiada	NN
refugiado	NN
refugio	NN
regalar	VB
regaliz	NN
regalo	NN
regar	VB
regatear	VB
reggae	NN
régimen	NN
región	NN
registrar	VB
registro	NN
regla	NN
reglar	VB
regresar	VB
rehacer	VB
rehén	NN
rehuir	VB
reina	NN
reinado	NN
reincidir	VB
reintentar	VB
reírse	VB
reja	NN
relación	NN
relacionar	VB
relajarse	VB
relámpago	NN
relámpagos	NNS
relativamente	RB
relato	NN
relevar	VB
relevarse	VB
relevo	NN
religión	NN
relinquir	VB
relleno	NN
reloj	NN
remar	VB
remedio	NN
remitente	NN
remo	NN
remordimiento	NN
renacimiento	NN
renacuajo	NN
rendimiento	NN
rendir	VB
renio	NN
reno	NN
reparar	VB
repartidor	NN
repartidora	NN
repartir	VB
repasar	VB
repelar	VB
repelente	NN
repetir	VB
repollo	NN
reportaje	NN
reposer	VB
representación	NN
representante	NN
representar	VB
represión	NN
republicana	NN
republicano	NN
reputación	NN
requerir	VB
requisito	NN
resbalar	VB
rescatar	VB
rescate	NN
reserva	NN
reservación	NN
reservar	VB
resfriado	NN
resfriarse	VB
residuo	NN
resolver	VB
resonar	VB
respetar	VB
respiración	NN
respiradero	NN
respirar	VB
respiro	NN
resplandecer	VB
resplandor	NN
responder	VB
responsabilidad	NN
respuesta	NN
resta	NN
restar	VB
restauración	NN
restaurante	NN
restaurar	VB
resto	NN
restos	NNS
restricción	NN
resucitar	VB
resultado	NN
resultar	VB
resumen	NN
resurrección	NN
retenedor	NN
retener	VB
retirar	VB
retirarse	VB
reto	NN
retractar	VB
retraso	NN
retrato	NN
reunión	NN
reunir	VB
reutilizar	VB
revelista	NN
reverencia	NN
revista	NN
revistero	NN
revivir	VB
revolución	NN
revolver	VB
rey	NN
rezar	VB
rezumar	VB
riachuelo	NN
ridiculizar	VB
rifle	NN
rima	NN
rimar	VB
rímel	NN
rinoceronte	NN
riñón	NN
río	NN
risa	NN
risita	NN
ritmo	NN
rizo	NN
róbalo	NN
robar	VB
roble	NN
robo	NN
robot	NN
roca	NN
rociar	VB
rocío	NN
rock	NN
rodar	VB
rodear	VB
rodeo	NN
rodilla	NN
rodillera	NN
rodio	NN
roedor	NN
rollo	NN
Romántico	NN
rombo	NN
romperse	VB
ropa	NN
rosa	NN
rostro	NN
rotar	VB
rotulador	NN
rubí	NN
rubidio	NN
rueda	NN
ruido	NN
ruinas	NNS
rumba	NN
rumbo	NN
rumiar	VB
Rusia	NNP
rutenio	NN
rutina	NN
sábado	NN
sábana	NN
